HOLE:	763B
LEG:	122
TOP:	334.061005
BOTTOM:	574.853027
DEPTH	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
347.4722	4.5485	4.1755	0.7294	0.0421	0.0990	7.8558	2.3105	1.3863	0.4621	0.0000
347.6246	4.5337	4.0287	0.6857	0.0571	0.0991	13.9013	4.9327	0.8969	0.0000	0.4484
347.7770	5.2475	4.3997	0.7167	0.0958	0.1146	8.7841	4.1609	0.9246	0.0000	0.4623
347.9294	5.3606	3.8894	0.6214	0.1662	0.1037	12.4884	4.1628	0.9251	0.4625	0.9251
348.0818	5.9312	4.2503	0.6860	0.1899	0.1119	10.7672	6.7295	1.3459	0.4486	0.4486
348.2342	5.7079	4.2291	0.6814	0.1671	0.1116	13.8889	3.7037	1.3889	0.4630	0.4630
348.3866	4.8061	3.8635	0.6094	0.1065	0.1045	10.6334	4.1609	1.3870	0.9246	0.0000
348.5390	3.9242	3.2726	0.4979	0.0736	0.0922	6.2752	4.9305	0.4482	0.0000	0.0000
348.6914	3.8008	3.1319	0.4760	0.0756	0.0883	9.8655	1.7937	0.0000	0.0000	0.0000
348.8438	4.0519	3.1864	0.4668	0.0978	0.0933	12.0203	2.3116	1.8493	0.0000	0.0000
348.9962	4.5500	3.4357	0.4848	0.1259	0.1043	11.2007	3.1362	0.4480	0.0000	0.0000
349.1486	4.6912	3.2347	0.4333	0.1645	0.1027	13.8696	1.8493	1.8493	0.0000	0.0000
349.3010	4.5982	2.9375	0.3870	0.1876	0.0946	11.2057	4.4823	2.2411	0.4482	0.0000
349.4534	4.3814	2.4499	0.3048	0.2182	0.0824	9.2379	3.2333	1.8476	0.0000	0.0000
349.6058	3.8669	1.9979	0.2331	0.2111	0.0703	9.6998	3.2333	1.3857	0.9238	0.4619
349.7582	3.8051	1.9413	0.2047	0.2106	0.0726	9.5694	2.6098	0.8699	0.0000	0.4350
349.9106	3.6835	2.1848	0.2231	0.1693	0.0831	9.8655	2.2422	2.2422	0.0000	0.0000
350.0630	3.5037	2.3135	0.2296	0.1345	0.0893	10.3093	3.1376	1.3447	0.4482	0.4482
350.2154	3.4887	2.6710	0.2671	0.0924	0.1028	9.7132	2.3127	0.4625	0.0000	0.0000
