leg site hole core coreType Section TopOffset BottomOffset Depth cropped_asman_id
202 1239 B 9 H 3 0.000000 0.000000 77.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9000
202 1239 B 9 H 4 0.000000 0.000000 78.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9010
202 1239 B 9 H 5 0.000000 0.000000 80.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9020
202 1239 B 9 H 6 0.000000 0.000000 81.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9030
202 1239 B 9 H 7 0.000000 0.000000 83.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9040
202 1239 B 10 H 1 0.000000 0.000000 83.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9060
202 1239 B 9 H CC 0.000000 0.000000 83.940000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9050
202 1239 B 10 H 2 0.000000 0.000000 85.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9070
202 1239 B 10 H 3 0.000000 0.000000 86.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9080
202 1239 B 10 H 4 0.000000 0.000000 88.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9090
202 1239 B 10 H 5 0.000000 0.000000 89.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9100
202 1239 B 10 H 6 0.000000 0.000000 91.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9110
202 1239 B 10 H 7 0.000000 0.000000 92.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9120
202 1239 B 11 H 1 0.000000 0.000000 93.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9140
202 1239 B 10 H CC 0.000000 0.000000 93.530000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9130
202 1239 B 11 H 2 0.000000 0.000000 94.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9150
202 1239 B 11 H 3 0.000000 0.000000 96.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9160
202 1239 B 11 H 4 0.000000 0.000000 97.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9170
202 1239 B 11 H 5 0.000000 0.000000 99.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9180
202 1239 B 11 H 6 0.000000 0.000000 100.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9190
202 1239 B 11 H 7 0.000000 0.000000 102.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9200
202 1239 B 11 H CC 0.000000 0.000000 102.920000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9210
202 1239 B 12 H 1 0.000000 0.000000 104.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9220
202 1239 B 12 H 2 0.000000 0.000000 106.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9230
202 1239 B 12 H 3 0.000000 0.000000 107.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9240
202 1239 B 12 H 4 0.000000 0.000000 109.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9250
202 1239 B 12 H 5 0.000000 0.000000 110.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9260
202 1239 B 12 H 6 0.000000 0.000000 112.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9270
202 1239 B 12 H 7 0.000000 0.000000 113.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9280
202 1239 B 12 H CC 0.000000 0.000000 114.220000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9290
202 1239 B 13 H 1 0.000000 0.000000 114.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9300
202 1239 B 13 H 2 0.000000 0.000000 115.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9310
202 1239 B 13 H 3 0.000000 0.000000 117.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9320
202 1239 B 13 H 4 0.000000 0.000000 118.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9330
202 1239 B 13 H 5 0.000000 0.000000 120.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9340
202 1239 B 13 H 6 0.000000 0.000000 121.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9350
202 1239 B 13 H 7 0.000000 0.000000 123.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9360
202 1239 B 14 H 1 0.000000 0.000000 123.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9380
202 1239 B 13 H CC 0.000000 0.000000 123.960000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9370
202 1239 B 14 H 2 0.000000 0.000000 125.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9390
202 1239 B 14 H 3 0.000000 0.000000 126.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9400
202 1239 B 14 H 4 0.000000 0.000000 128.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9410
202 1239 B 14 H 5 0.000000 0.000000 129.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9420
202 1239 B 14 H 6 0.000000 0.000000 131.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9430
202 1239 B 14 H 7 0.000000 0.000000 132.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9440
202 1239 B 15 H 1 0.000000 0.000000 133.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9460
202 1239 B 14 H CC 0.000000 0.000000 133.510000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9450
202 1239 B 15 H 2 0.000000 0.000000 134.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9470
202 1239 B 15 H 3 0.000000 0.000000 136.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9480
202 1239 B 15 H 4 0.000000 0.000000 137.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9490
202 1239 B 15 H 5 0.000000 0.000000 139.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9500
202 1239 B 15 H 6 0.000000 0.000000 140.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9510
202 1239 B 15 H 7 0.000000 0.000000 142.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9520
202 1239 B 16 H 1 0.000000 0.000000 142.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9540
202 1239 B 15 H CC 0.000000 0.000000 143.060000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9530
202 1239 B 16 H 2 0.000000 0.000000 144.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9550
202 1239 B 16 H 3 0.000000 0.000000 145.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9560
202 1239 B 16 H 4 0.000000 0.000000 147.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9570
202 1239 B 16 H 5 0.000000 0.000000 148.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9580
202 1239 B 16 H 6 0.000000 0.000000 150.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9590
202 1239 B 16 H 7 0.000000 0.000000 151.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9600
202 1239 B 17 H 1 0.000000 0.000000 152.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9620
202 1239 B 16 H CC 0.000000 0.000000 152.600000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9610
202 1239 B 17 H 2 0.000000 0.000000 153.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9630
202 1239 B 17 H 3 0.000000 0.000000 155.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9640
202 1239 B 17 H 4 0.000000 0.000000 156.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9650
202 1239 B 17 H 5 0.000000 0.000000 158.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9660
202 1239 B 17 H 6 0.000000 0.000000 159.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9670
202 1239 B 17 H 7 0.000000 0.000000 161.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9680
202 1239 B 18 H 1 0.000000 0.000000 161.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9700
202 1239 B 17 H CC 0.000000 0.000000 162.010000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9690
202 1239 B 18 H 2 0.000000 0.000000 163.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9710
202 1239 B 18 H 3 0.000000 0.000000 164.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9720
202 1239 B 18 H 4 0.000000 0.000000 166.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9730
202 1239 B 18 H 5 0.000000 0.000000 167.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9740
202 1239 B 18 H 6 0.000000 0.000000 169.300000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9750
202 1239 B 18 H 7 0.000000 0.000000 170.800000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9760
202 1239 B 18 H CC 0.000000 0.000000 171.480000 http://pumice.iodp.tamu.edu:8080/resteasy-asman/re?service=getFile&catalogName=EXP202&recordId=9770
